"","V180","V35","V8","V143","V209","V151","V249","V74_HK","V16","V79","V236","V193","V81","WEIGHT1A","V164","V150","V118","V47","V213G","I_WOMPOL","V256","V145","V43_16","V43_08","RELATIVISM","V183","V220","V254","V72","V7_CO","V43_24","V219","V43_23","V221","V198","WEIGHT2A","V69","V57","V56","V159","V105","V28","V259","WEIGHT4B","V169","V71","V208","V257C","V48","V210","V42","V253CS","WEIGHT1B","I_TRUSTCOURTS","V12","V213N","V41","V192","EQUALITY","V204","V213H","V168","I_WOMJOB","V257B","V59","V142","V43_03","I_TRUSTPOLICE","V239","V91","V129","V263","V132","V32","V43_12","V213A","V43","V108","V89","V114","V19","V245","V144","WEIGHT2B","V4","V252B","V251","V121","V68","V213L","V39","V21","V133","V97","V202","V33","WEIGHTB","I_HOMOLIB","V157","V194","I_AUTHORITY","I_NATIONALISM","DEFIANCE","I_DEVOUT","COW","V116"
"18",2,1,1,3,1,1,1,-4,1,1,1974,1,2,1,3,3,2,5,-4,0.330000013113022,651,3,-4,2,0.333332985639572,3,-4,1,1,-4,-4,-4,-4,-4,8,1,1,1,0,10,2,0,1,1,-4,3,1,364000,4,2,-4,-4,1,0.660000026226044,1,3,1,10,0.330000013113022,10,-4,-4,0,364007,2,3,-4,0.660000026226044,19,-4,-4,-4,2,0,-4,-4,-4,2,2,-4,2,8,3,1,1,-4,2,4,4,-4,2,2,3,-4,1,-4,1,0,8,4,0,0,0.109999999403954,0.330000013113022,630,1
"19",2,2,1,3,1,1,-3,-4,2,1,1957,1,6,1,2,2,8,5,-4,0.330000013113022,220,-1,-4,-4,1,2,2,1,4,-4,-4,1,-4,5,2,1,2,1,8,9,2,0,1,1,3,3,1,-4,1,2,2,-4,1,0.660000026226044,1,-4,1,7,0.443332999944687,10,-4,2,1,-4,2,-2,-4,0.330000013113022,15,7,2,-4,2,0,-4,-4,-4,1,1,4,1,9,2,1,1,-4,1,5,4,-4,2,2,3,2,1,0,1,0,6,2,0,0,0,0,439,7
"20",-4,2,1,1,-4,2,-3,-4,1,1,1963,1,5,0.660000026226044,3,3,2,2,-4,0.660000026226044,350,2,-4,-4,1.77964904969252e-43,-4,-4,1,4,-4,-4,-4,-4,8,-4,1,1,1,1,10,2,1,1.02320075035095,1,5,2,-4,-4,1,-4,2,-2,1,1,1,-4,2,10,0.773333013057709,NA,-4,4,1,604002,2,1,-4,0.660000026226044,34,9,2,1,2,0,-4,-4,-4,1,3,6,1,2,2,1,1,-4,2,8,5,-4,2,1,1,3,-4,0,0.915000021457672,1.77964904969252e-43,9,2,0,1.77964904969252e-43,0.0769999995827675,0,135,9
"21",-1,2,1,3,1,-1,2,-4,1,2,1943,-1,-4,1,2,-1,7,-4,-4,0.660000026226044,-4,-4,-4,-4,0,-1,-4,-4,2,-4,2,-4,2,-4,1,1,3,1,2,-4,-1,0,1,1,-4,3,-4,-4,2,-4,-4,554011,1,0.660000026226044,2,-4,-4,6,0.773333013057709,NA,-4,-4,1,-4,-1,-1,-4,0.660000026226044,-4,-4,-1,-4,3,-4,-4,-4,-4,-4,-4,-1,2,-4,3,1,1,-4,-4,-1,5,-4,-4,2,4,3,-1,0,0.915000021457672,1.77964904969252e-43,-4,-1,0,0,0.109999999403954,0.330000013113022,920,1
"22",-1,2,2,4,2,2,-3,-4,1,1,1937,1,4,0.660000026226044,3,4,1,-1,-4,0,1310,2,-4,-4,1,1,1,2,3,-4,-4,2,-4,10,-1,1,1,1,3,10,1,0,1,1,3,1,1,-4,3,2,2,-4,1,0.330000013113022,2,-4,2,10,0.331000000238419,10,-4,1,0.5,-4,2,4,-4,1,-1,6,-1,-4,4,0,-4,-4,2,4,1,4,1,2,2,0.660000026226044,1,-4,4,1,5,-4,2,1,4,3,1,0,0.915000021457672,0,1,1,1.77964904969252e-43,0.330000013113022,0.664049983024597,1,359,1
"23",1,2,1,2,-3,2,-2,-4,1,1,1982,1,5,0.660000026226044,3,3,2,7,-4,1,1420,2,-4,-4,1,1,1,1,-2,-4,-4,-2,-4,10,10,1,3,1,-2,10,2,1,1,0.660000026226044,3,1,10,-4,2,2,2,-4,1,0.660000026226044,2,-4,2,10,1,3,-4,5,1,891049,3,3,-4,0.660000026226044,19,5,2,-4,3,0,-4,-4,-4,1,5,2,2,1,2,1,1,-4,-2,9,5,-4,2,1,4,1,5,-2,0.915000021457672,0.444444000720978,10,2,1,1.77964904969252e-43,0.613789975643158,0.330000013113022,345,3
"24",3,2,1,3,2,1,-3,-4,1,1,1937,1,4,1,3,4,5,7,-4,0.330000013113022,-4,3,-4,-4,0,2,1,1,2,-4,-4,1,-4,3,1,1,3,1,3,8,4,0,0.706961035728455,1,5,1,1,-4,2,3,2,-4,1,0.330000013113022,1,-4,2,10,0.77666699886322,5,-4,4,1,-4,1,3,2,0.330000013113022,14,10,2,-4,1,0,-4,-4,-4,4,2,1,2,1,3,1,1,-4,3,7,6,-4,2,2,4,3,1,0,1,0,10,3,1,0.330000013113022,0.443332999944687,0,255,5
"25",-4,2,-4,3,1,2,-3,-4,1,1,-4,1,-4,0.660000026226044,2,2,10,8,-4,0.330000013113022,-4,2,-4,-4,0.0780000016093254,-4,-4,-4,1,3,-4,-4,-4,-4,1,0.660000026226044,-4,-4,-4,-4,-4,0,1,0.660000026226044,-4,3,1,-4,-4,2,-4,170001,1,0.330000013113022,2,-4,2,10,0.340979993343353,10,-4,-4,1.77964904969252e-43,-4,1,2,-4,1,14,7,3,-4,1,0,-4,2,-4,-4,-4,8,1,-4,3,0.660000026226044,-4,4,2,1,-4,-4,2,1,3,3,1,0,0.8299999833107,0,-4,-4,0,0,0.202000007033348,1.77964904969252e-43,100,1
"26",2,2,2,3,1,1,2,-4,1,1,1952,1,5,1,2,4,7,7,-4,1,1400,2,-4,-4,0.666666984558105,1,1,1,2,-4,-4,2,-4,8,3,1,3,2,1,5,3,0,1.70560002326965,1,4,4,1,-4,1,2,2,246032,1,0.330000013113022,1,-4,2,10,1,2,-4,1,1,-4,2,4,-4,0.330000013113022,30,6,2,-4,2,0,-4,-4,-4,4,2,9,2,-3,2,1,1,-4,3,7,3,-4,2,2,3,2,10,0,1,1,9,5,1,0,0.553332984447479,0.660000026226044,375,4
"27",1,2,1,2,1,2,2,-4,1,1,1945,1,-4,1,2,4,8,10,-4,0.660000026226044,1400,3,-4,-4,0,3,1,1,4,-4,-4,1,-4,2,1,1,1,1,2,-4,1,0,1,1,3,1,1,-4,2,3,2,-1,1,0.660000026226044,1,-4,2,9,0.773333013057709,10,-4,1,1,380011,2,2,-4,0.330000013113022,-2,5,2,-4,2,0,-4,-4,-4,3,-4,-2,1,6,4,1,1,-4,1,9,8,-4,2,2,2,3,1,-2,1,0,-4,3,0.5,0,0.166666999459267,0,325,9
"28",-4,2,1,2,-3,-1,-4,-4,2,1,1989,-4,2,0.660000026226044,-4,4,10,1,-4,0.330000013113022,1277,2,-4,-4,0.333332985639572,-4,-4,2,1,-4,-4,-4,-4,-4,1,1,1,-4,0,10,-4,0,1.12399673461914,1,-4,3,1,-4,1,-4,2,-1,1,0.660000026226044,1,-4,2,8,0.663332998752594,1,-4,-4,1,-4,3,2,-4,0.660000026226044,20,-4,3,-4,2,0,-4,-4,-4,-4,1,-4,1,1,2,1,1,-4,-4,7,2,-4,2,2,3,3,6,-4,1,0.555555999279022,8,-4,0,1.77964904969252e-43,0.0769999995827675,0,365,10
"29",3,2,1,3,2,1,1,-4,1,1,1986,1,1,1,2,3,8,7,-4,0.660000026226044,1400,2,-4,-4,0.666666984558105,3,1,1,3,-4,-4,3,-4,8,3,1,3,1,0,7,3,0,0.675927579402924,1,4,2,2,-4,4,2,2,7,1,0.660000026226044,2,-4,2,5,0.773333013057709,4,-4,1,1,-4,2,3,-4,0.660000026226044,19,8,2,-4,3,0,-4,-4,-4,3,3,3,2,7,3,1,1,-4,1,5,8,-4,2,1,2,3,8,0,1,0.777778029441833,7,5,0,0.330000013113022,0.219999998807907,0.330000013113022,290,8
"30",1,2,2,2,2,1,-5,-4,2,1,1957,2,-4,1,3,4,8,-2,-4,1,1400,2,-4,-4,0,2,1,2,3,-4,-4,1,-4,6,1,1,3,1,0,-4,2,-2,1,1,4,2,1,-4,-2,2,-2,380045,1,0.330000013113022,2,-4,-2,5,0.948000013828278,4,-4,5,1.77964904969252e-43,380054,1,2,-4,0.330000013113022,19,3,2,-4,2,-2,-4,-4,-4,2,-4,3,2,2,4,0.660000026226044,1,-4,2,7,7,-4,2,2,3,2,8,-2,0.915000021457672,0.777778029441833,-4,4,1,0.330000013113022,0.663332998752594,0.660000026226044,325,8
"31",1,2,1,2,1,1,-3,-4,2,1,1987,-4,1,1,3,4,1,8,-4,0.330000013113022,502,1,-4,-4,0.666666984558105,1,1,1,4,-4,-4,1,-4,8,5,1,1,1,1,9,2,1,1,1,-4,1,1,-4,1,1,2,-4,1,0,2,-4,2,9,0.219999998807907,10,-4,-4,0,-4,2,2,-4,0,16,9,2,2,3,1,-4,-4,-4,2,2,-1,1,2,1,1,1,-4,1,8,1,-4,1,1,2,3,1,-4,1,0,8,2,0,0,0,0,452,6
"32",-1,2,1,3,2,1,2,-4,2,-1,1954,1,5,0.660000026226044,-1,4,8,6,-4,0.660000026226044,1230,3,-4,-4,0.333332985639572,-1,3,1,3,-4,-4,3,-4,9,2,1,1,1,3,2,2,0,1,1,-2,1,2,-4,2,2,2,-4,1,0.660000026226044,1,-4,2,10,0.773333013057709,10,-4,1,1,891034,2,3,-4,0.330000013113022,10,8,-1,-4,2,0,-4,-4,-4,1,2,6,1,-3,3,1,1,-4,2,3,2,-4,2,2,4,-1,1,-2,1,0,7,4,1.77964904969252e-43,0.330000013113022,0.373270004987717,0.330000013113022,345,6
"33",1,2,1,1,1,1,-3,-4,1,1,1954,-4,5,1,1,3,10,10,-4,0.330000013113022,80,1,-4,-4,0.666666984558105,1,1,2,2,-4,-4,2,-4,10,2,0.660000026226044,1,1,2,10,2,2,0.68607884645462,1,5,1,1,156083,4,2,2,-4,1,0.330000013113022,1,-4,1,2,0.663332998752594,10,-4,1,1,156523,2,2,-4,0.330000013113022,22,9,-1,-4,1,0,-4,-4,2,4,1,-4,2,1,1,1,1,-4,2,9,8,-4,2,2,2,2,1,0,1,0,10,-4,0,0,0,0,710,10
"34",1,2,1,3,1,-1,1,-4,1,1,1982,1,5,1,1,4,1,1,-4,0.660000026226044,220,3,-4,-4,0,1,1,3,2,-4,-4,1,-4,-1,1,1,1,1,0,10,4,0,1,1,3,1,1,-4,1,1,2,-4,1,0.660000026226044,2,-4,2,10,0.886667013168335,10,-4,1,1,-4,1,2,-4,0.660000026226044,22,10,4,-4,1,0,-4,-4,-4,1,2,-1,1,1,3,1,1,-4,1,-1,3,-4,2,1,3,2,1,-4,1,0,-1,1,0.5,0,0.166666999459267,0,551,10
"35",1,2,1,2,1,2,1,-4,1,1,1987,1,1,1,3,4,9,5,-4,0.660000026226044,220,2,-4,-4,1,1,1,1,3,-4,-4,1,-4,9,1,1,1,1,1,10,2,0,0.849370062351227,1,4,1,2,-4,2,2,2,-4,1,0.330000013113022,2,-4,2,10,0.439999997615814,5,-4,1,0,-4,1,2,-4,0.660000026226044,24,7,2,-4,2,0,-4,-4,-4,1,2,9,1,-3,3,1,1,-4,3,6,2,-4,2,2,3,1,2,-2,1,0.111111000180244,7,1,0,0,0.109999999403954,0.330000013113022,560,4
"36",-1,2,2,-1,3,2,2,-4,2,-1,1950,-2,4,0.660000026226044,4,-1,-1,5,-4,0.660000026226044,1230,-1,-4,-4,1.77964904969252e-43,-1,2,2,-1,-4,-4,2,-4,8,-2,1,-1,1,2,10,2,0,1,0.660000026226044,3,3,-2,-4,2,3,2,-4,1,1,2,-4,2,9,0.773333013057709,NA,-4,2,1,891021,3,-2,-4,0.660000026226044,-1,-1,-2,-4,2,-2,-4,-4,-4,1,-2,-2,2,-3,-1,1,1,-4,2,3,3,-4,2,1,4,3,-2,-2,0.8299999833107,1.77964904969252e-43,10,-1,1.77964904969252e-43,0.660000026226044,0.357100009918213,0,345,2
"37",1,2,1,3,1,2,-3,-4,1,1,1979,1,-4,1,2,1,2,-4,-4,0.660000026226044,640,-4,-4,-4,0.333332985639572,1,-4,1,3,-4,-4,-4,-4,-4,2,1,1,1,1,-4,2,-4,1.12994349002838,1,-4,1,-4,-4,2,-4,-4,1,1,1.77964904969252e-43,2,-4,-4,10,0.439999997615814,10,-4,-4,0,-4,2,2,2,0,20,-4,-4,-4,1,-4,-4,-4,-4,-4,-4,8,2,-4,3,1,1,6,2,-4,3,-4,-4,1,2,2,6,-4,1,0.555555999279022,-4,1,0,0,0,0,90,9
"38",2,1,2,1,2,1,2,-4,1,1,1957,1,4,1,1,1,5,5,-4,0,-4,1,-4,-4,0,2,1,2,4,-4,-4,1,-4,5,1,0.660000026226044,1,1,4,7,1,0,1.27169632911682,1,2,3,1,-4,1,3,1,400106,1,0,1,1,1,10,0.333332985639572,10,-4,1,0,-4,2,1,-4,0.330000013113022,21,10,1,-4,1,0,-4,-4,1,1,1,10,1,-3,1,1,1,-4,1,3,10,-4,1,2,1,3,1,0,1,0,1,2,0,0.330000013113022,0.219999998807907,0.330000013113022,663,1
"39",2,2,1,2,1,2,-3,-4,1,1,1975,1,2,1,3,3,5,1,-4,0.330000013113022,-4,2,-4,-4,0,3,1,1,2,-4,-4,1,-4,5,3,1,2,1,1,10,3,0,0.701416552066803,1,5,1,1,-4,4,2,2,792036,1,0.330000013113022,2,-4,1,10,0.330000013113022,10,-4,2,0,-4,2,2,-4,0.330000013113022,16,7,3,-4,2,0,-4,-4,-4,1,1,7,2,5,2,1,1,-4,2,5,6,-4,2,1,4,3,1,0,1,0,10,1,0,0,0,0,640,5
"40",2,2,1,2,1,2,1,-4,1,1,1987,2,6,1,3,4,2,5,-4,0.330000013113022,1400,3,-4,-4,1,1,1,2,4,-4,-4,3,-4,10,5,1,1,-2,0,6,3,0,1,1,4,1,1,-4,2,2,2,-4,1,1,1,-4,2,7,0.663332998752594,3,-4,1,1,-4,1,3,-4,0.330000013113022,17,4,2,-4,2,0,-4,2,-4,4,3,-2,2,-3,3,1,1,-4,2,2,5,-4,2,2,2,3,7,0,1,0.666666984558105,8,3,0.5,0,0.27666699886322,0.330000013113022,165,5
"41",2,2,1,1,3,1,-3,-4,1,1,1960,1,5,1,2,1,4,3,-4,0.330000013113022,90,1,-4,-4,1,2,1,2,2,-4,-4,1,-4,10,5,1,1,1,2,5,3,0,1,1,4,1,5,-4,1,2,2,-4,1,0,1,-4,2,5,0.496666997671127,6,-4,3,0.5,-4,3,3,-4,0.660000026226044,18,7,2,-4,2,0,-4,-4,-5,1,4,-4,1,1,1,1,1,-4,2,3,4,-4,2,2,2,3,5,-5,1,0.444444000720978,5,3,0,0.660000026226044,0.330000013113022,0.330000013113022,820,7
"42",1,2,1,2,1,1,2,-4,1,1,1935,1,6,0.660000026226044,3,4,1,8,-4,0.330000013113022,1400,3,-4,-4,0,1,1,3,3,-4,-4,3,-4,6,1,1,1,1,4,7,4,1,1,1,4,1,1,-4,2,2,2,-4,1,0.660000026226044,2,-4,2,10,0.663332998752594,3,-4,1,1,-4,3,3,-4,0,10,1,1,-4,1,0,-4,2,-4,4,2,10,2,-3,2,1,1,-4,2,1,8,-4,2,1,3,3,7,0,1,0.666666984558105,7,2,1.77964904969252e-43,0,0.38944000005722,0.660000026226044,165,6
"43",1,1,3,2,1,-1,1,-4,1,1,1933,1,5,1,-1,4,2,9,-4,0.330000013113022,-4,2,-4,-4,0.333332985639572,1,1,2,2,-4,-4,1,-4,1,1,1,2,1,3,-1,2,0,1,1,-2,1,1,-4,-1,-1,1,-4,1,1.77964904969252e-43,2,-4,2,10,0.77666699886322,10,-4,-1,1,-4,2,2,-4,0.330000013113022,-1,5,2,-4,1,0,-4,-4,-1,1,1,-1,1,2,2,1,1,-4,4,8,3,-4,1,1,2,3,1,0,1,0,10,1,0,0,0,0,372,8
"44",2,2,1,2,1,2,-3,-4,1,1,1966,2,3,1,2,3,2,3,-4,0,-4,2,-4,-4,0,2,1,1,4,-4,-4,1,-4,3,1,1,3,1,3,9,4,1,1.33885669708252,1,1,3,1,-4,2,3,2,-4,1,0.660000026226044,2,-4,2,2,0,5,-4,5,0,-4,2,2,1,0.330000013113022,15,-3,3,-4,2,1,-4,-4,-4,2,2,3,2,4,2,1,1,-4,2,5,4,-4,2,2,2,2,9,1,1,0.888889014720917,10,5,0,0,0.109999999403954,0.330000013113022,255,3
"45",-4,2,-4,3,1,2,1,-4,1,1,-4,1,-4,0.660000026226044,2,3,5,8,-4,0.660000026226044,-4,3,-4,-4,0.0780000016093254,-4,-4,-4,1,2,-4,-4,-4,-4,1,0.660000026226044,-4,-4,-4,-4,-4,0,1,0.660000026226044,-4,2,1,-4,-4,2,-4,170006,1,0.330000013113022,2,-4,2,10,0.639959990978241,10,-4,-4,1.77964904969252e-43,-4,1,2,-4,0.660000026226044,24,9,3,-4,2,0,-4,2,-4,-4,-4,5,1,-4,4,0.660000026226044,-4,2,2,7,-4,-4,2,1,2,3,6,0,0.8299999833107,0.555555999279022,-4,-4,0,0,0.202000007033348,1.77964904969252e-43,100,5
